id,last_name,first_name,birth_yr,death_yr,profession_1_2
nm2655625,Agnihotri,Alvira Khan,1969,,producer/other
nm0013158,Agnihotri,Atul,1970,,producer/director/actor
nm0013159,Agnihotri,Rati,1960,,actor
nm0038020,Ahuja,Arun,1917,1998,actor
nm0332871,Ahuja,Govinda,1963,,actor
nm0222469,Ahuja,Nirmala,1927,1996,singer/actor
nm0007147,Anand,Dev,1923,2011,actor
nm0025608,Anand,Chetan,1915,1997,director
nm0025629,Anand,Vijay,1934,2004,director/producer/actor
nm0025613,Anand,Inder Raj,,1987,writer
nm0025627,Anand,Tinnu,1953,,actor/director
nm1893457,Anand,Siddharth,,,director
nm0002172,Anand,Mukul,1951,1997,director
nm0037019,Arora,Malaika,1973,,actor
nm1147677,Arora,Amrita,1978/1981,,actor
nm1201873,Azeem,Neelima,1958,,actor
nm0044796,Babbar,Raj,1952,,actor
nm1191646,Babbar,Arya,1982,,actor
nm1318320,Babbar,Juhi,1979,,actor
nm3070408,Babbar,Prateik,1986,,actor
nm0045394,Bachchan,Harivansh Rai,1907,2003,poet
nm0000821,Bachchan,Amitabh,1942,,actor/producer
nm0080149,Bachchan,Jaya,1948,,actor/politician
nm0045393,Bachchan,Abhishek,1976,,actor
nm0706787,Bachchan,Aishwarya Rai,1973,,actor/model
nf0000822,Bachchan,Ajitabh,1947,,business
nf0000820,Bachchan,Teji,1914,,social activist
nf0000823,Bachchan,Naina,0,,banker
nm0050197,Bali,Yogeeta,1952,,actor
nm0050188,Bali,Geeta,1930,1965,actor
nm0080251,Bharti,Divya,1974,1993,actor
nm0080320,Bhatt,Nanabhai,1915,1999,director
nm0080319,Bhatt,Mukesh,,,producer
nm0080315,Bhatt,Mahesh,1948,,director
nm0080324,Bhatt,Pooja,1972,,actor
nm1017633,Bhatt,Alia,1993,,actor
nm0080327,Bhatt,Robin,,,writer
nm7248508,Bhatt,Shaheen,,,writer
nf0080321,Bhatt,Shirin,,,wife of Nanubhai
nm0149822,Chakraborty,Mithun,1947,,actor
nm3002347,Chakraborty,Mahaakshay,1984,,actor
nm0151293,Chandravarkar,Leena,1950,,actor
nm8707924,Chatterjee,Biswajit,,,actor
nm0154146,Chatterjee,Prosenjit,1962,,actor
nm0007181,Chopra,Yash,1932,2012,director
nm0159148,Chopra,B. R. ,1914,2008,director
nf0159149,Chopra,Pamela,,,singer/producer/writer
nm0159162,Chopra,Ravi,1946,2014,director
nm1531347,Chopra,Raj,1927,,film other
nm0159167,Chopra,Uday,1973,,actor/producer
nm0159150,Chopra,Dharam Raj,1924,,film other
nm0004429,Deol,Dharmendra,1935,,actor
nm0219971,Deol,Sunny,1957,,actor
nm0219967,Deol,Bobby,1969,,actor
nm1867717,Deol,Abhay,1976,,actor
nm0219968,Deol,Esha,1981,,actor
